product_id,product_name,category,sub_category,brand,cost_price,selling_price
P000048,Luma Men Apparel 0048,Fashion,Men Apparel,Luma,26.83,58.11
P000049,MotionLab Fitness 0049,Sports,Fitness,MotionLab,69.68,112.6
P000050,Orbit Phones 0050,Electronics,Phones,Orbit,595.35,918.94
P000051,NorthStitch Footwear 0051,Fashion,Footwear,NorthStitch,41.37,99.42
P000052,Aster Laptops 0052,Electronics,Laptops,Aster,1407.65,1858.05
P000053,BlueLeaf Fiction 0053,Books,Fiction,BlueLeaf,11.48,20.59
P000054,MotionLab Outdoor 0054,Sports,Outdoor,MotionLab,142.81,263.64
P000055,VoltFit Outdoor 0055,Sports,Outdoor,VoltFit,93.63,136.36
P000056,Northstar Press Fiction 0056,Books,Fiction,Northstar Press,15.82,33.96
P000057,BrightNest Furniture 0057,Home & Kitchen,Furniture,BrightNest,190.96,389.01
P000058,Glowery Fragrance 0058,Beauty,Fragrance,Glowery,30.27,50.65
P000059,Nexora Phones 0059,Electronics,Phones,Nexora,473.26,703.2
P000060,PulseTech Accessories 0060,Electronics,Accessories,PulseTech,54.0,87.46
P000061,Stride Cycling 0061,Sports,Cycling,Stride,380.58,606.35
P000062,BrightNest Furniture 0062,Home & Kitchen,Furniture,BrightNest,234.87,346.52
P000063,BareBloom Haircare 0063,Beauty,Haircare,BareBloom,9.52,21.51
P000064,BlueLeaf Fiction 0064,Books,Fiction,BlueLeaf,14.39,22.84
P000065,Silka Haircare 0065,Beauty,Haircare,Silka,21.45,35.78
P000066,Auren Haircare 0066,Beauty,Haircare,Auren,21.24,60.59
P000067,Citrine Haircare 0067,Beauty,Haircare,Citrine,14.66,39.98
P000068,NorthStitch Women Apparel 0068,Fashion,Women Apparel,NorthStitch,24.31,62.16
P000069,ZenByte Cameras 0069,Electronics,Cameras,ZenByte,476.33,623.16
P000070,CraftHaus Storage 0070,Home & Kitchen,Storage,CraftHaus,46.77,85.17
P000071,Walkway Women Apparel 0071,Fashion,Women Apparel,Walkway,56.15,117.55
P000072,Elm & Co Storage 0072,Home & Kitchen,Storage,Elm & Co,25.85,55.05
P000073,Kidora STEM Toys 0073,Toys,STEM Toys,Kidora,39.89,92.5
P000074,NorthStitch Accessories 0074,Fashion,Accessories,NorthStitch,37.7,68.24
P000075,Orbit Laptops 0075,Electronics,Laptops,Orbit,885.9,1244.24
P000076,Modeva Men Apparel 0076,Fashion,Men Apparel,Modeva,67.29,149.89
P000077,Walkway Bags 0077,Fashion,Bags,Walkway,68.25,136.03
P000078,ArenaPro Fitness 0078,Sports,Fitness,ArenaPro,108.3,160.69
P000079,Auren Makeup 0079,Beauty,Makeup,Auren,23.38,52.84
P000080,Northstar Press Technology 0080,Books,Technology,Northstar Press,17.38,38.18
P000081,VoltFit Cycling 0081,Sports,Cycling,VoltFit,303.43,502.75
P000082,Kiva Storage 0082,Home & Kitchen,Storage,Kiva,10.65,20.82
P000083,PageMint Children 0083,Books,Children,PageMint,15.47,23.41
P000084,Modeva Bags 0084,Fashion,Bags,Modeva,70.35,182.76
P000085,Nexora Accessories 0085,Electronics,Accessories,Nexora,31.27,49.11
P000086,ZenByte Laptops 0086,Electronics,Laptops,ZenByte,1105.67,1781.89
P000087,MotionLab Cycling 0087,Sports,Cycling,MotionLab,359.58,523.55
P000088,Kiva Decor 0088,Home & Kitchen,Decor,Kiva,37.09,62.33
P000089,Modeva Men Apparel 0089,Fashion,Men Apparel,Modeva,73.12,159.69
P000090,Kiva Decor 0090,Home & Kitchen,Decor,Kiva,14.47,27.19
P000091,Orbit Cameras 0091,Electronics,Cameras,Orbit,520.0,777.53
P000092,Stride Fitness 0092,Sports,Fitness,Stride,125.91,246.77
P000093,BrightNest Appliances 0093,Home & Kitchen,Appliances,BrightNest,180.24,301.9
P000094,CraftHaus Appliances 0094,Home & Kitchen,Appliances,CraftHaus,150.07,222.15
P000095,Luma Accessories 0095,Fashion,Accessories,Luma,39.14,63.73
P000096,Silka Skincare 0096,Beauty,Skincare,Silka,42.57,76.57
P000097,BrightNest Cookware 0097,Home & Kitchen,Cookware,BrightNest,47.89,98.28
P000098,ZenByte Cameras 0098,Electronics,Cameras,ZenByte,352.53,558.18
P000099,PulseTech Audio 0099,Electronics,Audio,PulseTech,120.2,192.7
P000100,GreenFarm Organic 0100,Grocery,Organic,GreenFarm,23.55,50.44
P000101,BrightPlay Board Games 0101,Toys,Board Games,BrightPlay,23.78,36.96
P000102,Stride Fitness 0102,Sports,Fitness,Stride,55.75,87.55
P000103,UrbanThread Bags 0103,Fashion,Bags,UrbanThread,83.04,134.02
P000104,Freshly Beverages 0104,Grocery,Beverages,Freshly,8.53,15.84
P000105,Inkline Business 0105,Books,Business,Inkline,36.89,53.11
P000106,VoltFit Team Sports 0106,Sports,Team Sports,VoltFit,36.35,56.68
P000107,CraftHaus Furniture 0107,Home & Kitchen,Furniture,CraftHaus,542.87,896.17
P000108,UrbanThread Footwear 0108,Fashion,Footwear,UrbanThread,73.41,184.63
P000109,PulseTech Phones 0109,Electronics,Phones,PulseTech,454.97,668.93
P000110,Kidora Board Games 0110,Toys,Board Games,Kidora,36.03,51.64
P000111,Elm & Co Cookware 0111,Home & Kitchen,Cookware,Elm & Co,46.99,105.2
P000112,Walkway Bags 0112,Fashion,Bags,Walkway,123.64,283.62
P000113,NorthStitch Women Apparel 0113,Fashion,Women Apparel,NorthStitch,35.36,97.18
P000114,Silka Makeup 0114,Beauty,Makeup,Silka,21.35,37.94
P000115,Luma Bags 0115,Fashion,Bags,Luma,101.44,219.32
P000116,WonderBox Board Games 0116,Toys,Board Games,WonderBox,36.98,57.38
P000117,Northstar Press Fiction 0117,Books,Fiction,Northstar Press,14.2,30.86
P000118,Stride Team Sports 0118,Sports,Team Sports,Stride,22.66,48.95
P000119,BrightNest Furniture 0119,Home & Kitchen,Furniture,BrightNest,113.25,260.48
P000120,Glowery Skincare 0120,Beauty,Skincare,Glowery,29.51,52.78
P000121,Glowery Skincare 0121,Beauty,Skincare,Glowery,38.45,67.2
P000122,VoltFit Outdoor 0122,Sports,Outdoor,VoltFit,96.11,145.39
P000123,Orbit Laptops 0123,Electronics,Laptops,Orbit,931.25,1251.95
P000124,Homely Cookware 0124,Home & Kitchen,Cookware,Homely,57.35,91.53
P000125,Nexora Audio 0125,Electronics,Audio,Nexora,192.88,283.3
P000126,Kiva Decor 0126,Home & Kitchen,Decor,Kiva,42.38,81.04
P000127,Modeva Footwear 0127,Fashion,Footwear,Modeva,51.98,94.01
P000128,Aster Accessories 0128,Electronics,Accessories,Aster,25.36,41.22
P000129,Aster Phones 0129,Electronics,Phones,Aster,571.45,866.22
P000130,Citrine Haircare 0130,Beauty,Haircare,Citrine,15.98,30.35
P000131,NorthStitch Men Apparel 0131,Fashion,Men Apparel,NorthStitch,45.48,77.58
P000132,GreenFarm Snacks 0132,Grocery,Snacks,GreenFarm,12.11,25.55
P000133,BareBloom Haircare 0133,Beauty,Haircare,BareBloom,26.44,61.77
P000134,Walkway Women Apparel 0134,Fashion,Women Apparel,Walkway,56.54,113.37
P000135,Citrine Makeup 0135,Beauty,Makeup,Citrine,20.29,56.82
P000136,Aster Audio 0136,Electronics,Audio,Aster,161.56,238.56
P000137,HarvestLane Organic 0137,Grocery,Organic,HarvestLane,19.0,30.06
P000138,Elm & Co Cookware 0138,Home & Kitchen,Cookware,Elm & Co,58.41,110.64
P000139,Northstar Press Children 0139,Books,Children,Northstar Press,9.14,17.99
P000140,PulseTech Audio 0140,Electronics,Audio,PulseTech,153.95,259.52
P000141,Homely Furniture 0141,Home & Kitchen,Furniture,Homely,263.01,392.28
P000142,Kiva Storage 0142,Home & Kitchen,Storage,Kiva,28.05,41.91
P000143,HarvestLane Pantry 0143,Grocery,Pantry,HarvestLane,14.0,20.53
P000144,Glowery Makeup 0144,Beauty,Makeup,Glowery,15.82,31.14
P000145,Homely Decor 0145,Home & Kitchen,Decor,Homely,49.64,103.43
P000146,UrbanThread Accessories 0146,Fashion,Accessories,UrbanThread,13.88,29.91
P000147,UrbanThread Footwear 0147,Fashion,Footwear,UrbanThread,48.0,82.44
P000148,BareBloom Skincare 0148,Beauty,Skincare,BareBloom,17.67,48.41
P000149,CraftHaus Decor 0149,Home & Kitchen,Decor,CraftHaus,37.39,63.28
P000150,Nexora Audio 0150,Electronics,Audio,Nexora,258.95,338.08
P000151,PageMint Technology 0151,Books,Technology,PageMint,11.17,24.7
P000152,Kidora Board Games 0152,Toys,Board Games,Kidora,17.28,26.24
P000153,ZenByte Accessories 0153,Electronics,Accessories,ZenByte,84.0,122.59
P000154,Citrine Skincare 0154,Beauty,Skincare,Citrine,10.45,22.79
P000155,Nexora Phones 0155,Electronics,Phones,Nexora,709.39,1020.16
P000156,Stride Cycling 0156,Sports,Cycling,Stride,175.22,252.47
P000157,NorthStitch Women Apparel 0157,Fashion,Women Apparel,NorthStitch,64.13,104.77
P000158,TrailPeak Cycling 0158,Sports,Cycling,TrailPeak,213.23,365.28
P000159,VoltFit Outdoor 0159,Sports,Outdoor,VoltFit,96.24,203.0
P000160,PageMint Children 0160,Books,Children,PageMint,15.21,26.0
P000161,Nexora Audio 0161,Electronics,Audio,Nexora,128.21,192.42
P000162,DailyBite Snacks 0162,Grocery,Snacks,DailyBite,18.96,27.83
P000163,Modeva Bags 0163,Fashion,Bags,Modeva,58.94,124.92
P000164,PulseTech Accessories 0164,Electronics,Accessories,PulseTech,57.5,80.78
P000165,Auren Makeup 0165,Beauty,Makeup,Auren,16.17,36.47
P000166,CraftHaus Cookware 0166,Home & Kitchen,Cookware,CraftHaus,24.44,52.38
P000167,Inkline Technology 0167,Books,Technology,Inkline,17.44,36.32
P000168,Inkline Children 0168,Books,Children,Inkline,11.23,22.83
P000169,Luma Footwear 0169,Fashion,Footwear,Luma,107.58,210.41
P000170,DailyBite Pantry 0170,Grocery,Pantry,DailyBite,5.96,8.71
P000171,Modeva Accessories 0171,Fashion,Accessories,Modeva,36.3,71.69
P000172,Homely Appliances 0172,Home & Kitchen,Appliances,Homely,70.44,115.38
P000173,NorthStitch Accessories 0173,Fashion,Accessories,NorthStitch,8.73,15.85
P000174,GreenFarm Pantry 0174,Grocery,Pantry,GreenFarm,11.56,21.0
P000175,UrbanThread Footwear 0175,Fashion,Footwear,UrbanThread,76.85,174.93
P000176,Orbit Accessories 0176,Electronics,Accessories,Orbit,50.53,72.91
P000177,CraftHaus Cookware 0177,Home & Kitchen,Cookware,CraftHaus,40.58,63.7
P000178,HarvestLane Pantry 0178,Grocery,Pantry,HarvestLane,15.17,21.98
P000179,PuzzleWorks STEM Toys 0179,Toys,STEM Toys,PuzzleWorks,44.27,93.69
P000180,MotionLab Cycling 0180,Sports,Cycling,MotionLab,346.15,659.52
P000181,BrightPlay STEM Toys 0181,Toys,STEM Toys,BrightPlay,49.08,88.45
P000182,Kidora STEM Toys 0182,Toys,STEM Toys,Kidora,69.17,117.23
P000183,BrightNest Appliances 0183,Home & Kitchen,Appliances,BrightNest,141.3,263.17
P000184,UrbanThread Men Apparel 0184,Fashion,Men Apparel,UrbanThread,69.4,120.45
P000185,Northstar Press Fiction 0185,Books,Fiction,Northstar Press,11.09,16.68
P000186,VoltFit Fitness 0186,Sports,Fitness,VoltFit,89.58,162.92
P000187,Kiva Decor 0187,Home & Kitchen,Decor,Kiva,31.74,52.28
P000188,Nexora Phones 0188,Electronics,Phones,Nexora,417.47,709.96
P000189,MotionLab Team Sports 0189,Sports,Team Sports,MotionLab,49.78,103.7
P000190,UrbanThread Footwear 0190,Fashion,Footwear,UrbanThread,40.36,91.12
P000191,Freshly Pantry 0191,Grocery,Pantry,Freshly,19.86,37.24
P000192,Luma Women Apparel 0192,Fashion,Women Apparel,Luma,72.17,194.1
P000193,ZenByte Audio 0193,Electronics,Audio,ZenByte,233.17,329.88
P000194,WonderBox Board Games 0194,Toys,Board Games,WonderBox,17.59,40.9
P000195,PulseTech Laptops 0195,Electronics,Laptops,PulseTech,1611.25,2087.81
P000196,UrbanThread Bags 0196,Fashion,Bags,UrbanThread,82.34,190.84
P000197,Citrine Haircare 0197,Beauty,Haircare,Citrine,12.55,20.82
P000198,PuzzleWorks Outdoor Toys 0198,Toys,Outdoor Toys,PuzzleWorks,21.1,48.31
P000199,Luma Men Apparel 0199,Fashion,Men Apparel,Luma,27.38,55.37
P000200,Luma Men Apparel 0200,Fashion,Men Apparel,Luma,42.77,93.54
P000201,Northstar Press Children 0201,Books,Children,Northstar Press,6.44,9.31
P000202,HarvestLane Beverages 0202,Grocery,Beverages,HarvestLane,8.57,17.13
P000203,Elm & Co Cookware 0203,Home & Kitchen,Cookware,Elm & Co,34.67,52.31
P000204,ZenByte Phones 0204,Electronics,Phones,ZenByte,676.58,872.81
P000205,Orbit Cameras 0205,Electronics,Cameras,Orbit,703.92,1162.76
P000206,Walkway Accessories 0206,Fashion,Accessories,Walkway,22.49,45.27
P000207,Orbit Accessories 0207,Electronics,Accessories,Orbit,113.4,157.29
P000208,MotionLab Cycling 0208,Sports,Cycling,MotionLab,207.09,392.08
P000209,Nexora Laptops 0209,Electronics,Laptops,Nexora,664.24,1110.86
P000210,Homely Storage 0210,Home & Kitchen,Storage,Homely,49.5,90.84
P000211,Stride Fitness 0211,Sports,Fitness,Stride,78.13,181.77
P000212,Glowery Makeup 0212,Beauty,Makeup,Glowery,18.78,30.61
P000213,Modeva Accessories 0213,Fashion,Accessories,Modeva,26.41,43.82
P000214,BlueLeaf Children 0214,Books,Children,BlueLeaf,5.79,13.34
P000215,VoltFit Outdoor 0215,Sports,Outdoor,VoltFit,49.39,104.05
P000216,MotionLab Fitness 0216,Sports,Fitness,MotionLab,154.05,270.06
P000217,ZenByte Cameras 0217,Electronics,Cameras,ZenByte,367.02,495.89
P000218,ZenByte Accessories 0218,Electronics,Accessories,ZenByte,100.19,130.15
P000219,HarvestLane Pantry 0219,Grocery,Pantry,HarvestLane,5.07,10.5
P000220,BrightNest Decor 0220,Home & Kitchen,Decor,BrightNest,78.09,148.48
P000221,Walkway Women Apparel 0221,Fashion,Women Apparel,Walkway,44.02,110.23
P000222,CraftHaus Storage 0222,Home & Kitchen,Storage,CraftHaus,47.64,78.3
P000223,MotionLab Fitness 0223,Sports,Fitness,MotionLab,67.89,109.13
P000224,Freshly Snacks 0224,Grocery,Snacks,Freshly,13.39,28.33
P000225,UrbanThread Accessories 0225,Fashion,Accessories,UrbanThread,21.07,42.97
P000226,DailyBite Pantry 0226,Grocery,Pantry,DailyBite,13.71,19.62
P000227,PulseTech Phones 0227,Electronics,Phones,PulseTech,416.28,626.59
P000228,Glowery Fragrance 0228,Beauty,Fragrance,Glowery,39.56,96.13
P000229,Silka Haircare 0229,Beauty,Haircare,Silka,13.29,21.61
P000230,PulseTech Phones 0230,Electronics,Phones,PulseTech,637.98,945.0
P000231,Aster Cameras 0231,Electronics,Cameras,Aster,695.16,979.6
P000232,Kiva Storage 0232,Home & Kitchen,Storage,Kiva,36.38,60.77
P000233,GreenFarm Pantry 0233,Grocery,Pantry,GreenFarm,12.65,24.46
P000234,Silka Makeup 0234,Beauty,Makeup,Silka,33.12,54.35
P000235,HarvestLane Organic 0235,Grocery,Organic,HarvestLane,19.6,30.28
P000236,Inkline Business 0236,Books,Business,Inkline,22.74,41.45
P000237,CraftHaus Decor 0237,Home & Kitchen,Decor,CraftHaus,51.03,111.73
P000238,PageMint Business 0238,Books,Business,PageMint,23.26,36.97
P000239,Orbit Laptops 0239,Electronics,Laptops,Orbit,607.59,1009.05
P000240,Orbit Phones 0240,Electronics,Phones,Orbit,282.01,455.2
P000241,Northstar Press Business 0241,Books,Business,Northstar Press,22.36,33.52
P000242,BlueLeaf Technology 0242,Books,Technology,BlueLeaf,23.36,49.81
P000243,Modeva Bags 0243,Fashion,Bags,Modeva,57.7,148.02
P000244,BareBloom Makeup 0244,Beauty,Makeup,BareBloom,13.8,35.9
P000245,Auren Haircare 0245,Beauty,Haircare,Auren,24.1,65.34
P000246,WonderBox Board Games 0246,Toys,Board Games,WonderBox,37.53,59.62
P000247,Citrine Skincare 0247,Beauty,Skincare,Citrine,30.57,53.49
P000248,CraftHaus Furniture 0248,Home & Kitchen,Furniture,CraftHaus,227.26,484.17
P000249,BrightNest Furniture 0249,Home & Kitchen,Furniture,BrightNest,244.65,501.88
P000250,Kiva Appliances 0250,Home & Kitchen,Appliances,Kiva,122.03,245.83
P000251,VoltFit Outdoor 0251,Sports,Outdoor,VoltFit,118.58,234.89
P000252,WonderBox Outdoor Toys 0252,Toys,Outdoor Toys,WonderBox,39.42,62.2
P000253,Elm & Co Cookware 0253,Home & Kitchen,Cookware,Private Label,61.82,103.02
P000254,Luma Men Apparel 0254,Fashion,Men Apparel,Luma,90.5,175.5
P000255,Luma Footwear 0255,Fashion,Footwear,Luma,115.18,204.33
P000256,MotionLab Outdoor 0256,Sports,Outdoor,MotionLab,48.59,114.49
P000257,Northstar Press Technology 0257,Books,Technology,Northstar Press,21.5,40.26
P000258,PulseTech Audio 0258,Electronics,Audio,PulseTech,168.78,225.84
P000259,Aster Accessories 0259,Electronics,Accessories,Aster,43.79,59.29
P000260,Citrine Skincare 0260,Beauty,Skincare,Citrine,66.51,113.56
P000261,Orbit Phones 0261,Electronics,Phones,Orbit,358.47,542.86
P000262,Northstar Press Technology 0262,Books,Technology,Northstar Press,30.69,44.94
P000263,Modeva Footwear 0263,Fashion,Footwear,Modeva,59.09,137.42
P000264,Aster Laptops 0264,Electronics,Laptops,Aster,555.17,938.44
P000265,GreenFarm Organic 0265,Grocery,Organic,GreenFarm,19.29,29.52
P000266,Walkway Men Apparel 0266,Fashion,Men Apparel,Walkway,23.64,59.48
P000267,Luma Women Apparel 0267,Fashion,Women Apparel,Luma,47.96,80.39
P000268,Aster Cameras 0268,Electronics,Cameras,Aster,619.56,833.98
P000269,Nexora Audio 0269,Electronics,Audio,Nexora,126.57,163.76
P000270,Nexora Audio 0270,Electronics,Audio,Nexora,131.37,197.1
P000271,Nexora Cameras 0271,Electronics,Cameras,Nexora,681.42,927.9
P000272,Modeva Footwear 0272,Fashion,Footwear,Modeva,75.48,185.22
P000273,Aster Cameras 0273,Electronics,Cameras,Aster,581.85,747.09
P000274,Glowery Fragrance 0274,Beauty,Fragrance,Glowery,29.98,61.18
P000275,Stride Team Sports 0275,Sports,Team Sports,Stride,25.2,47.49
P000276,Kiva Furniture 0276,Home & Kitchen,Furniture,Kiva,231.8,490.2
P000277,UrbanThread Men Apparel 0277,Fashion,Men Apparel,UrbanThread,37.89,79.03
P000278,Elm & Co Storage 0278,Home & Kitchen,Storage,Elm & Co,47.43,77.33
P000279,PuzzleWorks STEM Toys 0279,Toys,STEM Toys,PuzzleWorks,30.22,56.7
P000280,PuzzleWorks STEM Toys 0280,Toys,STEM Toys,PuzzleWorks,28.92,46.32
P000281,ZenByte Phones 0281,Electronics,Phones,ZenByte,278.42,413.3
P000282,Modeva Men Apparel 0282,Fashion,Men Apparel,Modeva,27.92,58.76
P000283,Modeva Women Apparel 0283,Fashion,Women Apparel,Modeva,87.4,146.87
P000284,Luma Footwear 0284,Fashion,Footwear,Luma,43.11,101.67
P000285,BareBloom Skincare 0285,Beauty,Skincare,BareBloom,20.03,33.11
P000286,BrightNest Decor 0286,Home & Kitchen,Decor,BrightNest,38.92,59.24
P000287,Nexora Cameras 0287,Electronics,Cameras,Nexora,190.91,311.75
P000288,Kiva Storage 0288,Home & Kitchen,Storage,Kiva,43.68,91.18
P000289,Citrine Makeup 0289,Beauty,Makeup,Citrine,39.15,67.61
P000290,Nexora Phones 0290,Electronics,Phones,Nexora,276.82,367.39
P000291,WonderBox Dolls 0291,Toys,Dolls,WonderBox,37.49,59.24
P000292,Aster Cameras 0292,Electronics,Cameras,Private Label,716.45,933.24
P000293,DailyBite Pantry 0293,Grocery,Pantry,DailyBite,13.12,19.72
P000294,PulseTech Phones 0294,Electronics,Phones,PulseTech,594.59,799.07
P000295,Kidora STEM Toys 0295,Toys,STEM Toys,Kidora,22.26,49.13
P000296,BrightPlay Outdoor Toys 0296,Toys,Outdoor Toys,BrightPlay,48.28,85.98
P000297,DailyBite Organic 0297,Grocery,Organic,DailyBite,18.74,29.26
P000298,BlueLeaf Children 0298,Books,Children,BlueLeaf,8.47,13.52
P000299,Inkline Business 0299,Books,Business,Inkline,15.75,33.31
P000300,ArenaPro Outdoor 0300,Sports,Outdoor,ArenaPro,290.23,466.53
P000301,BlueLeaf Children 0301,Books,Children,BlueLeaf,16.55,31.91
P000302,ZenByte Laptops 0302,Electronics,Laptops,ZenByte,922.93,1187.31
P000303,Glowery Skincare 0303,Beauty,Skincare,Private Label,30.12,51.36
P000304,CraftHaus Cookware 0304,Home & Kitchen,Cookware,CraftHaus,75.89,143.95
P000305,PuzzleWorks Dolls 0305,Toys,Dolls,PuzzleWorks,41.33,81.94
P000306,Kiva Furniture 0306,Home & Kitchen,Furniture,Kiva,277.66,470.78
P000307,Kiva Furniture 0307,Home & Kitchen,Furniture,Kiva,354.45,830.4
P000308,BareBloom Makeup 0308,Beauty,Makeup,BareBloom,28.58,56.91
P000309,NorthStitch Bags 0309,Fashion,Bags,NorthStitch,29.27,65.91
P000310,Orbit Accessories 0310,Electronics,Accessories,Orbit,19.46,29.52
P000311,Elm & Co Decor 0311,Home & Kitchen,Decor,Elm & Co,21.72,34.48
P000312,CraftHaus Decor 0312,Home & Kitchen,Decor,CraftHaus,82.13,130.6
P000313,Luma Bags 0313,Fashion,Bags,Luma,52.26,105.91
P000314,Kiva Decor 0314,Home & Kitchen,Decor,Kiva,29.75,61.4
P000315,Homely Decor 0315,Home & Kitchen,Decor,Homely,94.34,152.45
P000316,Walkway Men Apparel 0316,Fashion,Men Apparel,Walkway,56.01,113.49
P000317,BrightNest Cookware 0317,Home & Kitchen,Cookware,BrightNest,58.44,97.51
P000318,TrailPeak Outdoor 0318,Sports,Outdoor,TrailPeak,264.91,409.26
P000319,Modeva Men Apparel 0319,Fashion,Men Apparel,Modeva,36.74,94.67
P000320,GreenFarm Beverages 0320,Grocery,Beverages,GreenFarm,28.61,42.19
P000321,HarvestLane Snacks 0321,Grocery,Snacks,HarvestLane,4.83,10.08
P000322,Homely Cookware 0322,Home & Kitchen,Cookware,Homely,25.13,57.12
P000323,Luma Men Apparel 0323,Fashion,Men Apparel,Luma,16.89,43.77
P000324,Citrine Haircare 0324,Beauty,Haircare,Citrine,31.71,56.72
P000325,Kidora STEM Toys 0325,Toys,STEM Toys,Kidora,58.19,97.19
P000326,MotionLab Outdoor 0326,Sports,Outdoor,MotionLab,176.97,324.55
P000327,Northstar Press Technology 0327,Books,Technology,Northstar Press,18.34,39.23
P000328,Silka Makeup 0328,Beauty,Makeup,Silka,13.14,33.57
P000329,BareBloom Fragrance 0329,Beauty,Fragrance,BareBloom,56.11,127.76
P000330,Walkway Accessories 0330,Fashion,Accessories,Walkway,24.06,64.85
P000331,ArenaPro Cycling 0331,Sports,Cycling,ArenaPro,156.47,325.54
P000332,Walkway Footwear 0332,Fashion,Footwear,Walkway,87.95,204.69
P000333,MotionLab Cycling 0333,Sports,Cycling,MotionLab,182.42,317.14
P000334,Kidora Board Games 0334,Toys,Board Games,Kidora,29.36,49.37
P000335,Aster Accessories 0335,Electronics,Accessories,Aster,75.16,105.13
P000336,Silka Haircare 0336,Beauty,Haircare,Silka,11.49,24.42
P000337,PulseTech Phones 0337,Electronics,Phones,PulseTech,252.14,403.77
P000338,MotionLab Outdoor 0338,Sports,Outdoor,MotionLab,163.77,336.71
P000339,Orbit Accessories 0339,Electronics,Accessories,Orbit,65.05,88.85
P000340,HarvestLane Snacks 0340,Grocery,Snacks,HarvestLane,9.64,16.24
P000341,Orbit Cameras 0341,Electronics,Cameras,Orbit,472.63,689.24
P000342,DailyBite Organic 0342,Grocery,Organic,DailyBite,19.0,43.16
P000343,Inkline Business 0343,Books,Business,Inkline,21.67,31.96
